categoria,fornecedor,produto,kg,fatiado,peca
Apresuntado,Alegra,Apresuntado,5541,5815,5812
Apresuntado,Aurora,Apresuntado Branco,2211,2212,3537
Apresuntado,Diversos,Afiambrado,33588,,
Apresuntado,Estrela,Afiambrado,,11955,
Apresuntado,Frimesa,Apresuntado,3773,3841,3940
Apresuntado,Marba,Apresuntado,,4193,4194
Apresuntado,Nobreza,Apresuntado,,3973,3974
Apresuntado,Pamplona,Apresuntado,6274,6384,6390
Apresuntado,Peperi,Apresuntado,2213,2214,3538
Apresuntado,Peperi,Apresuntado Lanche,,5043,5050
Apresuntado,PerdigÃ£o,Apresuntado,6445,2161,3531
Apresuntado,Rezende,Apresuntado,2391,2392,3540
Apresuntado,Royal,Apresuntado Gourmet,24,,
Apresuntado,Sadia,Apresuntado,2077,2078,3535
Apresuntado,Seara,Apresuntado,2068,2269,3539
Aves,Adoro,Asa de Frango,2351,,
Aves,Adoro,Coxa/Sobrecoxa,2352,,
Aves,Adoro,FilÃ© de Peito,2354,,
Aves,Adoro,Peito com Osso,2353,,
Aves,Adoro,Sassami,6273,,
Aves,Alliz,Coxa/Sobrecoxa,2358,,
Aves,Alliz,FilÃ© de Peito,407,,
Aves,Alliz,Frango Congelado,2359,,
Aves,Alliz,Peito com Osso,2357,,
Aves,Big Frango,Coxa/Sobrecoxa,465,,
Aves,Big Frango,Frango Congelado,5300,,
Aves,Big Frango,Galinha,4592,,
Aves,Big Frango,Peito com Osso,466,,
Aves,CanÃ§Ã£o,Coxa/Sobrecoxa,11410,,
Aves,CanÃ§Ã£o,Coxa/Sobrecoxa c/ Dorso,11401,,
Aves,CanÃ§Ã£o,FilÃ© de Peito,2398,,
Aves,CanÃ§Ã£o,Peito com Osso,1642,,
Aves,CanÃ§Ã£o,Sassami,11413,,
Aves,Copacol,Asa de Frango,2832,,
Aves,Copacol,Coxa/Sobrecoxa,2834,,
Aves,Copacol,FilÃ© de Peito,2845,,
Aves,Copacol,Peito com Osso,3378,,
Aves,Da Granja,Frango Congelado,7204,,
Aves,FlamboiÃ£,Coxa/Sobrecoxa,3246,,
Aves,FlamboiÃ£,Peito com Osso,3249,,
Aves,Itabom,Asa de Frango,3171,,
Aves,Itabom,Coxa Congelada,7210,,
Aves,Itabom,Coxa/Sobrecoxa,3172,,
Aves,Itabom,FilÃ© de Peito,3170,,
Aves,Itabom,Frango Congelado,3184,,
Aves,Itabom,Peito com Osso,3167,,
Aves,Itabom,Sobrecoxa,7648,,
Aves,Lar,Coxa/Sobrecoxa,5902,,
Aves,Lar,Coxa/Sobrecoxa c/ Dorso,7170,,
Aves,Lar,Coxinha da Asa,7121,,
Aves,Lar,FilÃ© de Peito,5901,,
Aves,Lar,Sassami,4901,,
Aves,Mister,Coxa/Sobrecoxa,2640,,
Aves,Mister,FilÃ© de Peito,1648,,
Aves,Mister,Peito com Osso,3232,,
Aves,Mister,Sassami,6789,,
Aves,Nho Bento,Frango Caipira,3443,,
Aves,Pioneiro,Coxa/Sobrecoxa,3418,,
Aves,Pioneiro,FilÃ© de Peito,2922,,
Aves,Pioneiro,Frango Congelado,1981,,
Aves,Pioneiro,Peito com Osso,3419,,
Aves,Pioneiro,Sassami,5632,,
Aves,Sadia,Frango Congelado,8693,,
Aves,Seara,Coxa/Sobrecoxa,3856,,
Aves,Seara,Frango Congelado,1160,,
Aves,Seara,Frango Congelado S/ MiÃºdos,3437,,
Aves,Seara,Frango Padaria,9451,,
Aves,Somave,Frango Congelado,5516,,
Aves,Somave,Galinha,3266,,
Aves,Somave,Galo Congelado,3267,,
Bacon,Alegra,Bacon,7640,,
Bacon,Alegra,Bacon Especial,5542,,
Bacon,Alegra,Bacon Especial Pernil,6196,,
Bacon,Aurora,Bacon,2242,,
Bacon,Aurora,Bacon Meia PeÃ§a,7174,,
Bacon,Frimesa,Bacon,5084,,
Bacon,Frimesa,Bacon Fracionado,4589,,
Bacon,Frimesa,Bacon Manta,3698,,
Bacon,Frimesa,Bacon Paleta,152,,
Bacon,Frimesa,Bacon Paleta Fracionado,6519,,
Bacon,Pamplona,Bacon Paleta Especial,6444,,
Bacon,Pamplona,Bacon Paleta Manta,4778,,
Bacon,PerdigÃ£o,Bacon,2111,,
Bacon,Sadia,Bacon,2178,,2173
Bacon,Seara,Bacon Ãder,6938,,
Bacon,Seara,Bacon PedaÃ§o,7583,,
Bacon,Seara,Bacon Tablete,7379,,
Carne Bovina,Bordon,Picanha Fatiada,7838,,
Carne Bovina,Friboi,Acém,5394,,
Carne Bovina,Friboi,Aranha,5398,,
Carne Bovina,Friboi,Bananinha,5396,,
Carne Bovina,Friboi,Capa Coxão Mole,5397,,
Carne Bovina,Friboi,Capa de Filé,5372,,
Carne Bovina,Friboi,Contra Filé,4669,,
Carne Bovina,Friboi,Contra FilÃ© Fracionado,5440,,
Carne Bovina,Friboi,CordÃ£o FilÃ© Mignon,5375,,
Carne Bovina,Friboi,CoxÃ£o Duro Fracionado,5376,,
Carne Bovina,Friboi,CoxÃ£o Mole Fracionado,5378,,
Carne Bovina,Friboi,Cupim,5380,,
Carne Bovina,Friboi,FilÃ© Mignon,10522,,
Carne Bovina,Friboi,Fraldinha,5382,,
Carne Bovina,Friboi,Lagarto,5383,,
Carne Bovina,Friboi,Maminha,5384,,
Carne Bovina,Friboi,Miolo da Alcatra,9253,,
Carne Bovina,Friboi,MÃºsculo,5392,,
Carne Bovina,Friboi,Paleta Fracionada,5386,,
Carne Bovina,Friboi,Patinho,5387,,
Carne Bovina,Friboi,Peito Fracionado,5389,,
Carne Bovina,Friboi,Picanha,5391,,
Carne Bovina,Maturatta,Baby Bife,17121,,
Carne Bovina,Maturatta,Bife Ancho,4113,,
